NPSN,Nama Sekolah,Telpon,Email,Akreditasi,Total Peserta Didik,Total Pendidik,Naungan,Kabupaten,Kecamatan,Alamat
10205504,SDS METHODIST RANTAUPRAPAT,08116190802,sds.methodist2.rantauprapat@gmail.com,A,377,22,YAYASAN PERGURUAN KRISTEN METHODIST RANTAUPRAPAT,KAB. LABUHANBATU,KEC. RANTAU UTARA,JL. BILAH NO. 24 RANTAUPRAPAT
10257944,SDPANTAI BUAYA,085296566523,sdpantaibuaya2@gmail.com,C,115,9,SD SWASTA PANTAI BUAYA,KAB. LANGKAT,KEC. BESITANG,PANTAI BUAYA
10258821,SD SWASTA HKBP 1 SIDORAME,,sd1hkbpsidorame@yahoo.co.id,B,78,10,YAYASAN PENDIDIKAN HKBP SIDORAME,KOTA MEDAN,KEC. MEDAN PERJUANGAN,JL. DOROWATI NO. 40 MEDAN
10213087,SDISLAM ARAFAH,,sdarafah2005@gmail.com,B,125,12,YAYASAN PESANTREN DARULARAFAH,KAB. DELI SERDANG,KEC. KUTAIIMBARU,JL GLUGUR RIMBUN DUSUN I
10213657,SD SWASTA PAB 5,,sds.pab5klumpang@gmail.com,B,194,13,PERKUMPULAN AMAL BAKTI  SUMATERA UTARA,KAB. DELI SERDANG,KEC. HAMPARAN PERAK,JL. PASAR 3 KLUMPANG
10257991,SD SWASTA ANGKASA 2,0614149118,sdangkasa2lanudmedan@yahoo.com,A,118,14,YAYASAN ARDHYA GARINI CABANG LANUD SOEWONDO,KOTA MEDAN,KEC. MEDAN POLONIA,JLN. POLONIA UJUNG NO. 99 MEDAN
70035137,SD ISLAM TERPADU AZ ZALFA,082169746648,sditazzalfa202@gmail.com,,72,8,YAYASAN NAURA AZZALFA MADINA,KAB. MANDAILING NATAL,KEC. PANYABUNGAN,JL. PROF. ANDI HAKIM PERUMAHAN PINAGO
10215204,SD PANGERAN ANTASARI,0618461641,sdpangeranantasari@ymail.com,A,387,16,YAYASAN PENDIDIKAN PANGERAN ANTASARI,KAB. DELI SERDANG,KEC. LABUHAN DELI,JALAN VETERAN NO 1060/19
10215221,SD SWASTA SANTA LUSIA,085765394528,sdsantalusia@gmail.com,A,374,15,SANTA LUSIA VIRGINI,KAB. DELI SERDANG,KEC. PERCUT SEI TUAN,JL. MEDAN BATANG KUIS KM.14 NO.123
70043594,SD SWASTA PEKERTI BESTARI SCHOOL,,,,148,7,YAYASAN PUTRA PUTRI NAIHONGGA CUILLIENTA,KOTA MEDAN,KEC. MEDAN SELAYANG,JL HARMONIKA BARU PASAR II NO 11
70031965,SDQU AL-MUKHLISHIN SIBUHUAN,,sdqualmukhlishin@gmail.com,,92,6,YAYASAN AL-MUKHLISHIN PADANG LAWAS,KAB. PADANG LAWAS,KEC. BARUMUN,JL. BAKTI NO. 78 LINGKUNGAN II KELURAHAN PASAR SIBUHUAN
69989362,SD SWASTA EKKLESIA,,sdekklesia@yahoo.com,B,64,12,,KAB. DAIRI,KEC. SIDIKALANG,LAE PINANG
70062089,SD SWASTA ZONA ANAK INDONESIA,,,,,2,,KAB. NIAS SELATAN,KEC. TELUK DALAM,JL.EX.ASRAMA KUDUS TELUK DALAM
70057456,SD SWASTA MODERN VERAWARDINA,,,,10,5,MASTER VERAWARDINA INDONESIA,KOTA MEDAN,KEC. MEDAN AMPLAS,JL. BAJAK V GG. BAHAGIA NO 138
10260025,SDS 1 MARDLIATUL ISLAMIYAH,0852614660883,mardliatulislmaniyah1@gmail.com,B,80,8,PENDIDIKAN MARDLIATUL ISLAMIYAH,KOTA MEDAN,KEC. MEDAN TEMBUNG,JL.BERSAMA NO 17 C
70036520,SD IT BIN LUDDEN ISLAMIC SCHOOL,081260676866,,,54,13,YAYASAN BIN LUDDEN ISLAMIC SCHOOL,KAB. LABUHANBATU UTARA,KEC. NA. IX-X,"JL. BINANGA KARYA NO. 34, DUSUN I C"
10200708,SD SWASTA MUALLAP AL WASHLIYAH MABAR,085275985058,sdmuallapmabar@gmail.com,B,197,12,SD SWASTA MUALLAP ALWASHLIYAH MABAR,KAB. DELI SERDANG,KEC. BANGUN PURBA,DESA MABAR
70047495,SD SWASTA ISLAM TERPADU NURUL QURAN,081375122007,sdit.nurulquran.sukamulia@gmail.com,B,62,7,YAYASAN KELUARGA QUR'AN,KAB. SIMALUNGUN,KEC. TAPIAN DOLOK,LK. I SUKA MULIA
10259415,SDS ISLAMIYAH,06177816074,sdsislamiyahi@gmail.com,B,128,8,PERGURUAN SWASTA ISLAMIYAH,KOTA MEDAN,KEC. MEDAN TEMBUNG,JL.TADUAN NO 74
10215243,SD SWASTA YAHDI,0618461824,sdyahdihelvetia@gmail.com,A,344,22,YAYASAN PENDIDIKAN ISLAM YAHDI,KAB. DELI SERDANG,KEC. LABUHAN DELI,JALAN BAMBU NO 54 PASAR IV
69969308,SD IT SYARIF AR-RASYID ISLAMIC SCHOOL,082380080782,syarif.arrasyidbinjai@gmail.com,A,74,12,YAYASAN PENDIDIKAN ISLAM SYARIF AR-RASYID,KOTA BINJAI,KEC. BINJAI UTARA,JL. PERINTIS KEMERDEKAAN NO. 51 BINJAI
10261435,SDS ISLAM ALIF,0614520042,sditalif1@gmail.com,A,145,16,AL ANSHAR,KOTA MEDAN,KEC. MEDAN POLONIA,JL. POLONIA GG. A NO. 43
70054569,SD MISBAH INDAH AULIA,,,,,1,,KAB. DELI SERDANG,KEC. PERCUT SEI TUAN,JALAN WATES DUSUN XI
10259779,SD SWASTA TAMAN SISWA,081361071908,sdtamsisbt1025@gmail.com,B,98,10,PERSATUAN PERGURUAN TAMANSISWA CABANG BANDAR TINGGI,KAB. SIMALUNGUN,KEC. BANDAR MASILAM,BANDAR TINGGI
69954005,SD ISLAM TERPADU AL-MUNAYA,081370913008,sditalmunaya@gmail.com,B,292,13,YAYASAN NUR RAHMAH TANJUNG ANOM,KAB. DELI SERDANG,KEC. PANCUR BATU,JL. PERUM DANAMON NO. 551 DUSUN VI
10257430,SD SWASTA DARUL AMAN,,sdsdarulamanmedan1960@gmail.com,B,291,14,PERGURUAN DARUL AMAN,KOTA MEDAN,KEC. MEDAN MAIMUN,JL. B. KATAMSO GG DARUL AMAN NO. 8 A
10260241,SD SWASTA ISLAM TERPADU FIRDAUSY,081377005160,sditfirdausy@gmail.com,B,151,12,YAYASAN PENDIDIKAN FIRDAUSY,KAB. DELI SERDANG,KEC. PATUMBAK,JL. PATUMBAK PASAR VII
10210595,SD SWASTA KARTIKA 1-5,,sd.kartika15@yahoo.com,B,78,11,YAYASAN KARTIKA JAYA CABANG I BUKIT BARISAN,KOTA MEDAN,KEC. MEDAN SUNGGAL,JL.ASRAMA KODAM  I/BB
69940051,SD SWASTA PLUS PRIDE,062226899,prideeducationcentre@gmail.com,B,232,27,YAYASAN PENDIDIKAN PRIDE,KOTA PEMATANGSIANTAR,KEC. SIANTAR TIMUR,JLN. ASAHAN KOMP. MEGALAND BLOK B NO. 22-23
70042910,SD SWASTA SUKA CERIA,085296749416,,,67,10,YAYASAN PENDIDIKAN SUKA CERIA SEJAHTERA,KOTA MEDAN,KEC. MEDAN DENAI,JL SELAM VI NO 52
10205505,SDS METHODIST-1 RANTAUPRAPAT,,steven_rat87@yahoo.com,B,88,8,PERGURUAN KRISTEN METHODIST INDONESIA,KAB. LABUHANBATU,KEC. RANTAU UTARA,JL. JEND AHMAD YANI NO.78 RANTAUPRAPAT
70053511,SD IT ELIANDY PUTRA BANGSA,085296650788,sditeltrasa@gmail.com,,7,0,YAYASAN ELIANDY PUTRA BANGSA,KAB. LANGKAT,KEC. PADANG TUALANG,JALAN TITI BESI DUSUN KELINGAN
70001878,SD SWASTA IT ZIA SALSABILA,085370032447,sd.ziasalsabila@gmail.com,B,255,15,ZIA SALSABILA,KAB. DELI SERDANG,KEC. PERCUT SEI TUAN,JL. PENDIDIKAN / PASAR XII GG. SAYANG NO. 12
10214757,SD SW. BINTANG TIMUR MERANTI,082364726733,sdsbintangtimurmeranti@yahoo.com,B,143,6,YAYASAN PERGURUAN PENDIDIKAN BINTANG TIMUR MERANTI,KAB. TOBA,KEC. PINTU POHAN MERANTI,MERANTI TIMUR
10261475,SD SWASTA RIAD MADANI,0617381252,riadmadani@yahoo.com,A,638,35,YAYASAN PENDIDIDKAN RIAD MADANI,KAB. DELI SERDANG,KEC. PERCUT SEI TUAN,JL. REL NO. 6 PASAR 10 TEMBUNG
69815397,SD SWASTA ORA ET LABORA SIMPANG KABAN,081376520432,sdsoelsp.kaban@gmail.com,B,170,15,YAYASAN PEKABARAN INJIL DAN DIAKONIA ORA ET LABORA,KAB. KARO,KEC. KABANJAHE,"JLN. JAMIN GINTING KM 5 SIMPANG KABAN, KABANJAHE - BERASTAGI"
10259279,SDS ETIS LANDIA,0618446716,sdetislandia@yahooco.id,B,170,13,YAYASAN PERGURUAN NASIONAL ETIS LANDIA,KOTA MEDAN,KEC. MEDAN HELVETIA,JL.GAPERTA GG BERKAT NO 32
10259359,SD SWASTA AL-HIDAYAH,7344866,sds.alhidayah@gmail.com,B,272,17,YAYASAN PERGURUAN AL-HIDAYAH,KOTA MEDAN,KEC. MEDAN TEMBUNG,JL. SOSRO NO. 15
69985881,SD SWASTA GALILEO PLUS MABAR,085379580582,galileo.plus@yahoo.com,A,291,15,PAUD GALILEO PLUS,KOTA MEDAN,KEC. MEDAN DELI,JL. MANGAAN I LINK. VIII
10261153,SDS ALIF INAYAH,081361162323,nasywahinayah@yahoo.com,B,555,23,YAYASAN PENDIDIKAN NASYWA INAYAH,KOTA MEDAN,KEC. MEDAN JOHOR,JL. IDI NO. 3
10259523,SDS SUKA MAJU,085261812562,sds_sukamaju@yahoo.com,B,152,11,SD SWASTA SUKA MAJU,KAB. LABUHANBATU,KEC. PANAI TENGAH,DUSUN X
70056508,SD SWASTA  AMAL - MAS 1 LAHUSA,,,,12,6,YAYASAN AMAL-MAS SUMATERA UTARA,KAB. NIAS SELATAN,KEC. LAHUSA,HELEZALULU DESA BAWOATALUA/MOGAE
10257956,SDS MUHAMMADIYAH P. BERANDAN,,sdmuhammadiyahp.berandan@gmail.com,B,281,13,PIMPINAN DAERAH MUHAMMADIYAH (PDM) KAB. LANGKAT,KAB. LANGKAT,KEC. BABALAN,JL. KALIMANTAN - P.BERANDAN
69957004,SD SWASTA BUNGA TANJONG,,sdbungatanjong@gmail.com,B,112,12,YAYASAN HAJI DATUK ABDULLAH TANJUNG MORAWA,KAB. DELI SERDANG,KEC. TANJUNG MORAWA,JL. IRIAN NO. 131
69990256,SD SW. NAGOYA,085370010700,sdswnagoya75@gmail.com,B,151,17,YAYASAN NAGOYA CIPTA KARYA,KAB. TAPANULI TENGAH,KEC. PANDAN,JL. JEND. FAISAL TANJUNG
69978765,SD SWASTA DUTA HARAPAN SCHOOL,0614519195,dutaharapanschool@gmail.com,A,1,4,,KOTA MEDAN,KEC. MEDAN BARU,JL. DARAT NO. 17 A-C
70012345,SDIT TAHFIZUL QURAN MEDAN,,,C,3,0,YAYASAN DARUL QURAN MEDAN,KOTA MEDAN,KEC. MEDAN TEMBUNG,JL. SULUH NO 71 D
10210665,SDS METHODIST 6,0618452601,sdmethodist6@gmail.com,A,761,31,PENDIDIKAN GMI JEMAAT GLORIA,KOTA MEDAN,KEC. MEDAN HELVETIA,"JL. BINJAI KM. 7,8"
10263547,SD SWASTA BUMBLEBEES LEARNING CENTRE,0618911558,sdsbumbleebess@gmail.com,B,163,13,BUMBLEBEES LEARNING CENTRE,KAB. LANGKAT,KEC. STABAT,JL.KHZ.ARIFIN NO.166 STABAT
10260780,SDS ISLAM SABILA AMANDA,0617343674,sd.islamsabilaamanda@gmail.com,B,227,27,YAYASAN PENDIDIKAN SABILA AMANDA,KOTA MEDAN,KEC. MEDAN DENAI,JL. RAYA MEDAN TENGGARA GG. BENTENG NO. 1
10210520,SDS SUPRIYADI,0618452116,sdsupriyadi341@yahoo.com,A,14,7,YAYASAN PENDIDIKAN SUPRIYADI,KOTA MEDAN,KEC. MEDAN SUNGGAL,JLN. PINANG BARIS NO.81
10206209,SD S HKBP PAKPAHAN,082272475377,sdhkbp24@gmail.com,B,135,10,YAYASAN PENDIDIKAN HKBP TAPANULI UTARA,KAB. TAPANULI UTARA,KEC. PANGARIBUAN,PAKPAHAN
10205545,SD ADVENT AEK KUO,085261692627,jekson03sinaga@gmail.com,B,103,6,YAYASAN PENDIDIKAN GEREJA MASEHI ADVENT HARI KETUJUH SUMATERA UTARA,KAB. LABUHANBATU UTARA,KEC. KUALUH HILIR,DUSUN DOSROHA
10258746,SD SWASTA W.R. SUPRATMAN 2,0617880109,sdswr.supratman2@gmail.com,A,614,29,YAYASAN PERGURUAN WAGE RUDOLF SUPRATMAN,KOTA MEDAN,KEC. MEDAN JOHOR,JL BRIGJEND ZEIN HAMID 33
10257918,SDS WALADUN SHALIH,,sdswaladunshalih@yahoo.co.id,B,401,19,YPI WALADUN SHALIH,KOTA MEDAN,KEC. MEDAN LABUHAN,JL RAWE I LK XII
10257935,SD SWASTA NASRANI 3 MEDAN,0617892167,sdnasrani79@gmail.com,B,155,12,PERKUMPULAN PERGURUAN NASRANI MEDAN,KOTA MEDAN,KEC. MEDAN KOTA,JL.TURI NO.108 MEDAN
