NPSN,Nama Sekolah,Bentuk,Telpon,Email,Naungan,Kabupaten,Kecamatan,Alamat
20532815,SD VITA,SD,0315922690,elementary@vitaschool.sch.id,YAYASAN PENDIDIKAN DHARMA VITA,KOTA SURABAYA,KEC. SUKOLILO,JL. ARIF RAHMAN HAKIM 189-191 SURABAYA
20533869,SD KRISTEN KALAM KUDUS MALANG,SD,366025,skrkk18amm@gmail.com,YAYASAN KALAM KUDUS INDONESIA CABANG MALANG,KOTA MALANG,KEC. KLOJEN,JL. ARIF MARGONO NO. 18  MALANG
69990855,SD MUHAMMADIYAH 1 KENDAL,SD,,sdmuh1kendal@gmail.com,PIMPINAN DAERAH MUHAMMADIYAH (PDM) KAB. NGAWI,KAB. NGAWI,KEC. KENDAL,PUCANGANOM RT 1 RW 1
70028708,SDS ISLAM NAHDLATUT THULLAB,SD,,,YAYASAN SOSIAL PENDIDIKAN ISLAM AL-ALY,KAB. SAMPANG,KEC. KETAPANG,DUSUN ONJUR
69990693,SDS ISLAM AL-HIKMAH,SD,544642,sdialhikmahajung@gmail.com,YAYASAN AL HIKMAH AJUNG,KAB. JEMBER,KEC. AJUNG,JL. PTPN X NO. 83 SUMURAN
20540408,SD MUHAMMADIYAH 2,SD,0353889477,sdmudabo@gmail.com,PIMPINAN DAERAH MUHAMMADIYAH (PDM) KAB. BOJONEGORO,KAB. BOJONEGORO,KEC. BOJONEGORO,JL. UNTUNG SUROPATI 44 A - D
70028403,SD ISLAM ABU MAYLANI,SD,082229401173,sdiabumaylani20@gmail.com,YAYASAN PENDIDIKAN ISLAM HASAN ABU MAYLANI,KAB. MOJOKERTO,KEC. DLANGGU,DUSUN GAJAH RT. 02 RW. 02
20533912,SD NU HASYIM ASYARI,SD,0341336158,sdnu_hasyimasyari@yahoo.co.id,YAYASAN PENDIDIKAN NAHDLATUL ULAMA HASYIM ASHARI KOTALAMA II MALANG,KOTA MALANG,KEC. KEDUNGKANDANG,JL. LAKS. MARTADINATA II/ 36 RT 07 RW 03
20533047,SD ISLAM ASH-SHIDDIIQII SURABAYA,SD,089677072622,sdiash.shiddiiqii@gmail.com,MIRA AL ASHAR,KOTA SURABAYA,KEC. TAMBAKSARI,JL. SETRO BARU UTARA III-A/134
20535422,SDIT BINA INSAN CENDEKIA,SD,0343415644,sdit_bic@yahoo.co.id,YAYASAN BINA INSAN CENDEKIA PASURUAN,KOTA PASURUAN,KEC. PURWOREJO,JALAN ABABIL TEMBOKREJO NO. 5 PASURUAN
69883483,SDS MAHARDIKA,SD,087812333540,mahardikasds@gmail.com,AL-HODAI,KAB. SAMPANG,KEC. ROBATAL,DSN.PATAPAN
20577789,SDS ISLAM DARUL ULUM AL - HASANY,SD,085232935101,sdsislamdarululumalhasany@gmail.com,,KAB. SAMPANG,KEC. BANYUATES,DESA TLAGAH
20571189,SDI RAUDATUL ULUM,SD,085231543249,sdi.raudlatul.ulum.duko@gmail.com,YAYASAN SABILILLAH PADATAR BARAT,KAB. SUMENEP,KEC. RUBARU,JL. PADATAR TIMUR DUKO
70043669,SD ISLAM SUBULUSSALAM,SD,085755911873,sdisubulussalam1@gmail.com,YAYASAN PENDIDIKAN SUBULUSSALAM,KAB. GRESIK,KEC. WRINGIN ANOM,DUSUN SUMBERGLAGAH RT 002 RW 001
20566063,SD ISLAM AL-RAUDLATUL AMIEN FULL DAY EDUCATION,SD,082148452126,sdirada@gmail.com,YAYASAN ISLAM AL-RAUDLATUL AMIEN GRESIK,KAB. GRESIK,KEC. KEBOMAS,JL. TOPAZ VII NO. 31-32 GRAHA BUNDER ASRI
20554516,SDIT AL ARIF,SD,,sditalarif@gmail.com,YAYASAN PENDIDIKAN ISLAM TERPADU AL ARIF,KAB. KEDIRI,KEC. GAMPENGREJO,JL. DIPONEGORO 178B
70040170,SDS ISLAM ATTHOYYIBIN,SD,,,YAYASAN TARBIYATUL QUR'AN AT-THOYYIBIN,KAB. SAMPANG,KEC. KETAPANG,DUSUN KAJU ABU DAYA
20533096,SD MURSYIDAH,SD,0317480504,sdsmursyidah@gmail.com,YAYASAN MURSYIDAH,KOTA SURABAYA,KEC. BENOWO,TAMBAK OSOWILANGUN III/2 SURABAYA
20533128,SD KRISTEN GLORIA 1,SD,0315452171,sdkristengloria@yahoo.com,YAYASAN PENDIDIKAN KRISTEN GLORIA,KOTA SURABAYA,KEC. GENTENG,JL. PACAR 11-17 SURABAYA
69787451,SD ISLAM AL-HASANY,SD,03131006070,aifound4@gmail.com,YAYASAN AL-HASANY,KAB. BANGKALAN,KEC. KONANG,JL. KH. NORHASAN KOMPLEKS AL-HASANY
70005491,SD ISLAM PLUS AL - HAQIQI,SD,,,YAYASAN PENDIDIKAN ISLAM AL-HAQIQI,KAB. SIDOARJO,KEC. TANGGULANGIN,"JL, KAYU TELON SENTUL TAGGULANGIN"
69830100,SD ISLAM AL-USMANIYAH,SD,081973399939,sdalusmaniyah@gmail.com,AL USMANIYAH PASER,KAB. BANGKALAN,KEC. KONANG,PASER BATOKABAN
20533136,SD MARGIE,SD,0317314582,sdmargiesurabaya@gmail.com,YAYASAN MARGIE,KOTA SURABAYA,KEC. DUKUH PAKIS,JL. KUPANG INDAH IX/19
20549638,SD ISLAM ARRISALAH,SD,0352371006,sdislamarrisalah32@gmail.com,YAYASAN PONDOK MODERN ARRISALAH PROGRAM INTERNASIONAL,KAB. PONOROGO,KEC. SLAHUNG,PONDOK MODERN ARRISALAH
20533905,SD KATOLIK MARDI WIYATA 01,SD,0341355909,sdkmw1@gmail.com,MARDI WIYATA,KOTA MALANG,KEC. KLOJEN,JL. JAKSA AGUNG SUPRAPTO NO.21
20554519,SD IT EMPAT MEI,SD,082338445152,sditempatmei@gmail.com,YAYASAN EMPAT MEI,KAB. KEDIRI,KEC. PARE,JL YOS SUDARSO  75 TULUNGREJO
20532823,SD YPPI-IV,SD,0315933870,sdyppi_4@yahoo.co.id,YAYASAN PENDIDIKAN DAN PENGAJARAN INDONESIA (YPPI),KOTA SURABAYA,KEC. MULYOREJO,JL. SUTOREJO UTARA I / 2 - 6
70028232,SD ISLAM AL ISYROQ,SD,08563287698,sdi.alisyroq@gmail.com,YAYASAN AL ISYROQ SUKODADI LAMONGAN,KAB. LAMONGAN,KEC. SUKODADI,DESA MENONGO
69987680,SD ISLAM NURUL ULUM,SD,,sdi.nurululum16@gmail.com,YAYASAN UTUL 'ILMA,KAB. KEDIRI,KEC. KANDANGAN,JL. MASJID RT 01 RW 01 DS. JERUKWANGI
69979940,SDI AKHLAQUL BANIN DARUL FAQIH,SD,085804384459,,PONDOK PESANTREN DARUL FAQIH BLITAR,KAB. BLITAR,KEC. SRENGAT,JL. MELATI RT. 04 RW. 08 DUSUN DOMOT
20554813,SD LUQMAN AL HAKIM,SD,0358326297,sdluqmannganjuk@gmail.com,YAYASAN PENDIDIKAN HIDAYATULLAH NGANJUK,KAB. NGANJUK,KEC. NGANJUK,JL.ANJUK LADANG IA NO.40 PLOSO
69989418,SDS ISLAM AL-ISLAMIYAH,SD,,,AL-ISLAMIYAH,KAB. SAMPANG,KEC. KARANGPENANG,DUSUN BANGLANDEK
70010668,SDI MAKHABBATUL JANNAH,SD,085748427155,sdislam.makhabbatuljanah@gmail.com,MAKHABBATUL JANNAH,KAB. MOJOKERTO,KEC. JETIS,DUSUN SINGOPADU
20539144,SD BAITUL MAKMUR,SD,082132289054,sd.baitulmakmur65@yahoo.com,BAITUL MAKMUR,KOTA SURABAYA,KEC. KREMBANGAN,JL. KEMAYORAN BARU 2/ 16
20533863,SD KRISTEN CHARIS,SD,566580,office@charis.sch.id,YAYASAN CHARIS INDONESIA,KOTA MALANG,KEC. SUKUN,JL. TELAGA BODAS 1
20518727,SD SUNAN GIRI,SD,0341383944,sdsunangiri_ngebruk@yahoo.co.id,YAYASAN PENDIDIKAN MA'ARIF AL-IHSAN,KAB. MALANG,KEC. SUMBERPUCUNG,JALAN RAYA NO. 97 NGEBRUK
20563931,SD ANUGERAH PEKERTI,SD,0315660637,info@anugerahpekerti.com,YAYASAN PERHIMPUNAN ANUGERAH PEKERTI,KOTA SURABAYA,KEC. TEGAL SARI,JL.DINOYO NO.127
20521339,SD KRISTEN ALETHEIA,SD,0334884245,mail.skalumajang@gmail.com,YAYASAN KRISTEN ALETHEIA INDONESIA,KAB. LUMAJANG,KEC. LUMAJANG,JL KH WACHID HASYIM 73
20563669,SD ISLAM BAITUL FATTAH,SD,0317416750,sdi.baitulfattahsby1@gmail.com,YAYASAN PENDIDIKAN ISLAM BAITUL FATTAH,KOTA SURABAYA,KEC. TANDES,JL. MANUKAN TAMA NO. 1
70012304,SD TAHFIDZUL QURAN INCERAH,SD,,sdincerah@gmail.com,LKSA INCERAH,KAB. MOJOKERTO,KEC. MOJOSARI,JL. MANGGIS RT. 001 RW. 007
20518715,SD KATOLIK WIGNYA MANDALA,SD,0341789822,sdkwima@yahoo.com,YAYASAN KARMEL,KAB. MALANG,KEC. TUMPANG,JL. RAYA TUMPANG NO. 290
69952192,SD KRISTEN TARUNA RAJAWALI,SD,8957557,tarunarajawali.sda@gmail.com,TARUNA RAJAWALI,KAB. SIDOARJO,KEC. SIDOARJO,JL.DIPONEGORO 16
20554046,SD ISLAM AL IMARAH,SD,0333462300,sdislam.alimarah@gmail.com,YAYASAN PENDIDIKAN DAN SOSIAL AL IMARAH BAJULMATI WONGSOREJO BANYUWANGI,KAB. BANYUWANGI,KEC. WONGSOREJO,JLN. RAYA SITUBONDO KM 35
20541298,SDS ST. MARY ELEMENTARY SCHOOL,SD,0317530653,stmaryelemens@gmail.com,YOHANNES GABRIEL,KOTA SURABAYA,KEC. LAKARSANTRI,JL. LIDAH KULON 29-A SURABAYA
20534424,SD PLUS AR RAHMAN,SD,0354684708,sdplusarrahman@gmail.com,YAYASAN PENDIDIKAN ARRAHMAN,KOTA KEDIRI,KEC. PESANTREN,JL. BANARAN 108
60725361,SDI ADDURIYAH,SD,085231640652,sdi.adduriyah07@gmail.com,YAYASAN ADDURRIYAH,KAB. PAMEKASAN,KEC. KADUR,DSN. ANGSANAH BARAT
20533862,SD K BRAWIJAYA 01,SD,0341343819,sdkrbraw@gmail.com,YAYASAN PENDIDIKAN KRISTEN JAWA TIMUR,KOTA MALANG,KEC. KLOJEN,JL. BRAWIJAYA N0. 1
20573390,SD PLUS AL- FIRDAUS,SD,087850543999,sd.plus.alfirdaus@gmail.com,DAYA BHAKTI PERSADA,KAB. PAMEKASAN,KEC. PADEMAWU,JL. RAYA TAMBUNG
20555476,SD BADRUT TAMAM,SD,085236397739,sdbadruttamam@yahoo.co.id,YAYASAN BADRUT TAMAM,KOTA PROBOLINGGO,KEC. WONOASIH,JL. KLENGKENG NO. 22
70058139,SDIT MTA NGAWI,SD,,,YAYASAN MAJLIS TAFSIR AL QUR'AN SURAKARTA,KAB. NGAWI,KEC. NGRAMBE,JL NGRAMBE WALIKUKUN KM 03
20535403,SD PANCASILA,SD,0343418487,sdpancasila12@gmail.com,YAYASAN PENDIDIKAN PANCASILA,KOTA PASURUAN,KEC. PANGGUNGREJO,JL. HASANUDIN NO. 12
69880765,SDI NURUL HIDAYAH,SD,,sdinurulhidayah03@gmail.com,AL MAHSUNIL HIDAYAH,KAB. BANGKALAN,KEC. GEGER,DUSUN LONPOCOK DESA DABUNG
20566057,SD ISLAM RIYADLUS SHOLIHIN,SD,085230777101,sdi.riyadlussholihin07@gmail.com,PERKUMPULAN PONDOK PESANTREN DAN TARBIYATUL AYTAM SAYYID MUHAMMAD BIN ALWI,KAB. PROBOLINGGO,KEC. SUMBERASIH,DUSUN KRAJAN II
20502309,SDI PANCASILA,SD,0318970989,sdislampancasila@gmail.com,YAYASAN TAMAN PENDIDIKAN AL-HIDAYAH KRIAN SIDOARJO,KAB. SIDOARJO,KEC. KRIAN,PONOKAWAN RT 08 RW 03
20521336,SD ISLAM ROUDLOTUL JANNAH,SD,,sdiroudlotuljannah65@gmail.com,LEMBAGA PENDIDIKAN MA'ARIF NU,KAB. LUMAJANG,KEC. PASIRIAN,DUSUN KARANG TENGAH MADUREJO
69866763,SDIE HIDAYATUL UMMAH,SD,085932644135,sdiehidayatulummahofficial@gmail.com,YAYASAN PONDOK PESANTREN SUBULUS SYAFI'IN,KAB. MAGETAN,KEC. KAWEDANAN,DS. POJOK RT.04 RT.02 KAWEDANAN KAB. MAGETAN
20583973,SD ISLAM ASWAJA,SD,328223,sdiaswaja@gmail.com,YAYASAN PONDOK PESANTREN AHLUS SA'ADAH AL ISLAMI,KOTA MALANG,KEC. KLOJEN,JL. THAMRIN NO.1
20548440,SD MUHAMMADIYAH 2 PENDIL,SD,0335611074,sdmuhammadiyah2pendil@gmail.com,PIMPINAN DAERAH MUHAMMADIYAH (PDM) KAB. PROBOLINGGO,KAB. PROBOLINGGO,KEC. GENDING,JL. RAYA SEBAUNG - GENDING
70015910,SD PROGRAM UNGGULAN ASSUNNIYAH,SD,082231481923,sduassunniyyah@gmail.com,ASSUNNIYYAH,KAB. LUMAJANG,KEC. PASIRIAN,DUSUN TEGIR DESA PASIRIAN
20533016,SD KRISTEN KALAM KUDUS SURABAYA,SD,0317312342,sdkkk_sby@yahoo.com,YAYASAN KALAM KUDUS INDONESIA CAB. SURABAYA,KOTA SURABAYA,KEC. SUKOMANUNGGAL,SIMO HILIR BARAT XV / 08
20531388,SD KATOLIK MARIA FATIMA,SD,,sdkmariafatimabangkalan@gmail.com,YAYASAN KARMEL,KAB. BANGKALAN,KEC. BANGKALAN,JL. KH. HASYIM ASYARI NO.30-A
20533906,SD KATOLIK MARDI WIYATA 02,SD,0341366074,mwiyata2@gmail.com,MARDI WIYATA,KOTA MALANG,KEC. KLOJEN,JL. SEMERU 36
20558454,SD ISLAM TERPADU AL AZHAR KEDIRI,SD,03546023677,sditalazharkediri@gmail.com,YAYASAN AL-AZHAR KEDIRI,KOTA KEDIRI,KEC. MOJOROTO,JL. TAMAN SARI GANG MASJID NURUL HUDA
20502311,SD HANG TUAH 11 GEDANGAN,SD,0318911570,sdhangtuah11_sidoarjo@yahoo.co.id,HANG TUAH CABANG SURABAYA,KAB. SIDOARJO,KEC. GEDANGAN,JL. RENCONG NO. 7 RUMDIS TNI - AL
70035210,SDIT TANWIRUL AFKAR,SD,,sdittanwirulafkar@gmail.com,PERKUMPULAN PENDIDIKAN DAN SOSIAL AL-URWATUL WUTSQO SUMBERAGUNG,KAB. MALANG,KEC. NGANTANG,JALAN KALI SUCI DUSUN DERMOSARI
20534793,SD ISLAM TERPADU PERMATA,SD,03215885631,humas.sditpermatamojokerto@gmail.com,YAYASAN PERMATA MOJOKERTO,KOTA MOJOKERTO,KEC. KRANGGAN,LINGK. KUWUNG RT 02/RW 03
70058276,SD AR RAHMAH PEPELEGI,SD,082338078490,sdarrahmahpplg@gmail.com,AR-RAHMAH PEPELEGI,KAB. SIDOARJO,KEC. WARU,JALAN JATISARI NO. 56A RT 03 RW 06 PEPELEGI
69727028,SDS MUHAMMADIYAH 1,SD,085184645656,sdmuh1bangkalan@gmail.com,PIMPINAN DAERAH MUHAMMADIYAH (PDM) KAB. BANGKALAN,KAB. BANGKALAN,KEC. BANGKALAN,JL. KH. MOH CHOLIL NO. 31 BKL
20537627,SD AISYIYAH 1,SD,0358329509,sdaonenganjuk@gmail.com,PIMPINAN DAERAH MUHAMMADIYAH (PDM) KAB. NGANJUK,KAB. NGANJUK,KEC. NGANJUK,JL.MEGANTORO NO.46
69727025,SD ISLAM RAUDLATUL MUBTADIIN,SD,087850835477,sdilembung@yahoo.com,ARRAHMANY BABUSSALAM HUSEIN,KAB. BANGKALAN,KEC. KOKOP,DESA LEMBUNG GUNUNG
20536860,SD MUHAMMADIYAH 04 BATU,SD,0341590755,sdmuh04batu@gmail.com,PIMPINAN DAERAH MUHAMMADIYAH (PDM) KOTA BATU,KOTA BATU,KEC. BATU,JL. WELIRANG 17
70042241,SDS ISLAM BANI SUBAKIR,SD,,,HIDAYATUT TULLAB GUNUNGELEH,KAB. SAMPANG,KEC. KEDUNGDUNG,DUSUN BANGSAL UTARA
20525036,SDS ISLAM MIFTAHUL ULUM,SD,081217856567,sdi.miftahululum2005@yahoo.com,MIFTAHUL ULUM,KAB. JEMBER,KEC. MUMBULSARI,CURAH LAOS
20574519,SD ISLAM NURUL HUDA,SD,08179376258,sdinurulhudakonang@gmail.com,YAYASAN ISLAM NURUL HUDA,KAB. BANGKALAN,KEC. KONANG,DUSUN KARPOTE SAMBIYAN
70012032,SD SAMPOERNA (SAMPOERNA ACADEMY) SURABAYA,SD,,,YAYASAN PUTERA SAMPOERNA,KOTA SURABAYA,KEC. TANDES,JALAN BANJAR SUGIHAN (KAWASAN GRAND PAKUWON NOMOR KAVELING JMU-02 & JMU-03
70043358,SD KHAYMING,SD,03137950000,khayming.dinas@gmail.com,YAYASAN KHAYMING HARAPAN BANGSA,KOTA SURABAYA,KEC. LAKARSANTRI,JL LAKARSANTRI 16 MADE
69920419,SDIT HASAN SANUSI,SD,085655455898,sdithasansanusi@gmail.com,NURUL ACHMADI CATAKGAYAM,KAB. JOMBANG,KEC. MOJOWARNO,JL. KH. HASAN SANUSI NO. 09 RT. 001 RW. 004 CATAKGAYAM
69950638,SDIT AL KAHFI,SD,081233885350,alkahfiyayasan1@gmail.com,YAYASAN SOSIAL DAN PENDIDIKAN AL- KAHFI,KAB. JOMBANG,KEC. MOJOWARNO,"DSN. MOJOGENENG, RT:16,RW:04 DESA GEDANGAN"
20531956,SD ASY SYAFI`IYAH,SD,0317496779,asysyafi'iyahsd@gmail.com,YAYASAN ASY SYAFI'IYAH,KOTA SURABAYA,KEC. SUKOMANUNGGAL,JL. SIMOREJO SARI B VII/7-9
20549098,SDS ISLAM BAHRUL ULUM,SD,082333222495,sdi.bahrululum@yahoo.co.id,AL - MIFTAH,KAB. SAMPANG,KEC. SOKOBANAH,DSN CERECET
20539949,SDSK  YUSTINUS DE YACOBIS,SD,0318973359,sdkyudeya@gmail.com,YOHANNES GABRIEL,KAB. SIDOARJO,KEC. KRIAN,JLN KI HAJAR DEWANTARA 35
70064331,SD QUR’ANIC INTEGRATED SCHOOL OF MUHAMMADIYAH,SD,,,PIMPINAN DAERAH MUHAMMADIYAH (PDM) KAB. SUMENEP,KAB. SUMENEP,KEC. KOTA SUMENEP,JL. URIP SUMOHARJO NO. 14 DESA PABIAN SUMENEP
20532850,SD SANTO YOSEF,SD,0315662086,sintyos@gmail.com,YAYASAN TARAKANITA,KOTA SURABAYA,KEC. WONOKROMO,"JL. JOYOBOYO NO. 19, SURABAYA"
20569043,SD ISLAM RAUDHATUL MUTAALIMIN,SD,087701012231,sdimutaalimin@gmail.com,RAUDHATUL MUTAALLIMIN,KAB. BANGKALAN,KEC. KOKOP,JL. DSN. SEKGERSEK
20577227,SD ISLAM TERPADU SEGODOREJO,SD,03216210096,sdit.segodorejo@yahoo.com,YAYASAN PENDIDIKAN DESA SEGODOREJO,KAB. JOMBANG,KEC. SUMOBITO,JL. KAPT. ABD. ROHIM NO. 98
20576766,SD ISLAM DARUL KAROMAH,SD,087762772828,sdi.darmah@gmail.com,YAYASAN DARUL KAROMAH,KAB. PAMEKASAN,KEC. LARANGAN,BICABBI 1
20533050,SD ISLAM JIWA NALA SURABAYA,SD,0318792634,sdijiwanala@yahoo.co.id,YAYASAN PENDIDIKAN ISLAM JIWA NALA,KOTA SURABAYA,KEC. RUNGKUT,JL. RAYA KEDUNG ASEM NO. 47 - 49
20532997,SD KARTIKA,SD,0315666588,sekolahdasarkartika@gmail.com,YAYASAN KARTIKA 42,KOTA SURABAYA,KEC. SAWAHAN,JL. SIMO GUNUNG KRAMAT BARAT NO 42 SBY
20518692,SD AN NUR,SD,0341787163,sdannur@yahoo.co.id,LEMBAGA PENDIDIKAN MA'ARIF NU PCNU KABUPATEN MALANG,KAB. MALANG,KEC. TUMPANG,JL. KAUMAN 20
20577839,SD ALAMI DRIYOREJO,SD,082133078809,sdalami.edugress@gmail.com,YAYASAN AL-MUSHAFFA,KAB. GRESIK,KEC. DRIYOREJO,JL. EMBONG TRENGGULI RT 08 RW 02
20532849,SD RW X DEMAK JAYA SURABAYA,SD,081233398077,sd_rwx@yahoo.co.id,YAYASAN RADEN WIJAYA,KOTA SURABAYA,KEC. BUBUTAN,JL. DEMAK JAYA III / 55 SURABAYA
20512697,SD ISLAM AL FATH,SD,0354395066,sdislamalfathpare@gmail.com,PERKUMPULAN AL FATH,KAB. KEDIRI,KEC. PARE,JL. SUMATRA NO. 27A
20541794,SD ISLAM HUDAN LINNAS,SD,085732142500,sdi.hudanlinnas027@gmail.com,YAYASAN PENDIDIKAN ISLAM KYAI HAMDANI,KOTA MADIUN,KEC. KARTOHARJO,JL. KYAI HAMDANI NO.1 MADIUN
70050102,SD ISLAM RAUDLATUL MUSTHOFA,SD,,,AL ISHLAH,KAB. TULUNGAGUNG,KEC. REJOTANGAN,DUSUN DUNGMANTEN
69955224,SDI AGUNG BAITUR ROHMAN,SD,,rohmatsdi120@gmail.com,NURUL HIDAYAH AN NAWAWIYAH,KAB. BANGKALAN,KEC. KONANG,DUSUN PRENDUAN BEJERUK DESA BATOKABAN
20539137,SD ISLAM TERPADU AL-FATHIMIYYAH,SD,0317441035,sditalfathimiyyah@yahoo.com,YAYASAN AL FATHIMIYYAH,KOTA SURABAYA,KEC. PAKAL,JL. LAPANGAN BENOWO NO. 10
20533055,SD HIDAYATUL MUSTAQIM,SD,,sdhidayatulmustaqim@rocketmail.com,HIDAYATUL MUSTAQIM,KOTA SURABAYA,KEC. WONOKROMO,JL. LOMBOK 1-A
20573190,SD MUHAMMADIYAH 1 NGRAMBE,SD,085878333774,sdmuhsatungrambe@gmail.com,PIMPINAN DAERAH MUHAMMADIYAH (PDM) KAB. NGAWI,KAB. NGAWI,KEC. NGRAMBE,"JL RAYA NGRAMBE- SINE KM 0,2 NGRAMBE"
70037097,SDI HASYIM ASYARI SEKARPURO,SD,085154066636,sdihasekarpuro@gmail.com,LEMBAGA PENDIDIKAN MA'ARIF NU PCNU KABUPATEN MALANG,KAB. MALANG,KEC. PAKIS,JALAN MELATI NO. 124
20554142,SD ISLAM ALMAARIF 02,SD,0341452095,sdi_alma@yahoo.co.id,YP. ALMAARIF SINGOSARI- MALANG,KAB. MALANG,KEC. SINGOSARI,JL. MASJID 115A KELURAHAN PAGENTAN SINGOSARI
20553875,SDS PLUS AL IKROM,SD,082336814045,alikrom2007@gmail.com,YAYASAN AL IKROM,KAB. JEMBER,KEC. SUKOWONO,JL. KARANG PAITON 30
20571287,SDI NURUL ISLAM,SD,,sdinurulislam1@yahoo.com,DARUL MUSTAQIM,KAB. PAMEKASAN,KEC. PROPPO,DESA BADUNG
20502840,SDIT AL ANWAR,SD,081217205499,sdit.alanwar2020@gmail.com,LPIS AL-ANWAR,KAB. MOJOKERTO,KEC. MOJOSARI,MODOPURO G VI NO 05
70044039,SD NU 03 BONDOWOSO,SD,082331077676,sdnu3bondowoso@gmail.com,LP MA'ARIF NU BONDOWOSO,KAB. BONDOWOSO,KEC. PRAJEKAN,DSN. GARUNGUNGAN RT.38 RW.18
20526095,SD KATOLIK BUDI LUHUR,SD,0333821360,sdk.budiluhur03@gmail.com,YAYASAN KARMEL,KAB. BANYUWANGI,KEC. GLENMORE,JLN DR. SUTOMO NO. 3
70043329,SD ISLAM NURUL ULUM,SD,,,YAYASAN PENDIDIKAN NURUL ULUM,KAB. GRESIK,KEC. DRIYOREJO,JL. SEMERU 99 RT 007 RW 002
69916945,SDI NU AL MUTTAQIN,SD,081332162448,sdialmuttaqin15@gmail.com,DARUL MUTTAQIN,KAB. BANYUWANGI,KEC. SILIRAGUNG,TIMUR JEMBATAN BARU SELOAGUNG
69963184,SD ISLAM ROUDLOTUL HIKMAH,SD,085648874572,sdiroudlotulhikmah@gmail.com,YPP ROUDLOTUL HIKMAH,KAB. GRESIK,KEC. WRINGIN ANOM,DUSUN NGAMPON RT 011  RW 003
20557627,SD ISLAM AL AMNANIYAH KARANGJATI,SD,085708033916,sdialamnaniyah.karangjati@gmai.com,AL AMNANIYAH BANGON,KAB. NGAWI,KEC. KARANGJATI,JL. RAYA NGAWI - CARUBAN
69943724,SD ISLAM SABILIL FALAH,SD,0318830644,sdsabililfalahsukodono@gmail.com,SALAFIYAH METAL,KAB. SIDOARJO,KEC. SUKODONO,JL. KH. MANSOER RT.20 RW.06
20540258,SD PLUS DARUL ULUM,SD,0321875122,sdplusdujbg@gmail.com,YAYASAN PESANTREN TINGGI DARUL ULUM PETERONGAN JOMBANG,KAB. JOMBANG,KEC. JOMBANG,JL. SULTAN AGUNG NO. 3 JOMBANG
20502308,SD KATOLIK SANTO YUSUP,SD,0318661746,sdksantoyusuptropodo@gmail.com,YOHANNES GABRIEL,KAB. SIDOARJO,KEC. WARU,JL BRANTAS WISMA TROPODO
20539952,SDK UNTUNG SUROPATI II,SD,8953325,sdkuntungsurapati2sda@gmail.com,YOHANNES GABRIEL,KAB. SIDOARJO,KEC. SIDOARJO,JL TENNIS 3
20554253,SD NU 06 MIFTAHUL ULUM,SD,03317864619,sdnu06miftahululumwlh@gmail.com,YAYASAN PONDOK PESANTREN ISLAM BINTANG SEMBILAN,KAB. JEMBER,KEC. WULUHAN,JL. WATU  ULO RT. 06 RW. 02 GROBYOK
